"","occurrenceID","individualCount","sex","organismID","eventDate","year","month","day","waterBody","countryCode","decimalLatitude","decimalLongitude","scientificName"
"401",1190,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.4608,168.898,"Carcharodon carcharias (Linnaeus, 1758)"
"402",119,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.6999,-176.381,"Carcharodon carcharias (Linnaeus, 1758)"
"403",519,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.8674,166.944,"Carcharodon carcharias (Linnaeus, 1758)"
"404",911,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-44.2694,-175.782,"Carcharodon carcharias (Linnaeus, 1758)"
"405",1202,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-43.6093,166.199,"Carcharodon carcharias (Linnaeus, 1758)"
"406",469,1,"FEMALE","Shark 78469",2008,2008,NA,NA,"Pacific Ocean","NZ",-28.4017,-175.521,"Carcharodon carcharias (Linnaeus, 1758)"
"407",1059,1,"MALE","Shark 78472",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.5059,167.504,"Carcharodon carcharias (Linnaeus, 1758)"
"408",170,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.3541,-176.19,"Carcharodon carcharias (Linnaeus, 1758)"
"409",811,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.8364,-176.139,"Carcharodon carcharias (Linnaeus, 1758)"
"410",568,1,"FEMALE","Shark 64036",2007,2007,NA,NA,"Pacific Ocean","NZ",-45.7,167.112,"Carcharodon carcharias (Linnaeus, 1758)"
"411",217,1,"MALE","Shark 57036",2005,2005,NA,NA,"Pacific Ocean","NZ",-44.753,-175.946,"Carcharodon carcharias (Linnaeus, 1758)"
"412",1006,1,"MALE","Shark 88234",2009,2009,NA,NA,"Pacific Ocean","NZ",-45.9556,167.789,"Carcharodon carcharias (Linnaeus, 1758)"
"413",861,1,"MALE","Shark 78468",2008,2008,NA,NA,"Pacific Ocean","NZ",-43.1616,-177.427,"Carcharodon carcharias (Linnaeus, 1758)"
"414",68,1,"FEMALE","Shark 57033",2005,2005,NA,NA,"Pacific Ocean","NZ",-41.807,-172.487,"Carcharodon carcharias (Linnaeus, 1758)"
"415",1189,1,"FEMALE","Shark 78475",2009,2009,NA,NA,"Pacific Ocean","NZ",-46.436,168.842,"Carcharodon carcharias (Linnaeus, 1758)"
"416",118,1,"FEMALE","Shark 57035",2005,2005,NA,NA,"Pacific Ocean","NZ",-43.7549,-175.732,"Carcharodon carcharias (Linnaeus, 1758)"
